district,address,complete_address,gcj02_lng,gcj02_lat,wgs84_lng,wgs84_lat,township,towncode,street,street_number,direction,distance,building,building_type,building_type1,building_type2,building_type3,neighborhood,neighborhood_type,neighborhood_type1,neighborhood_type2,neighborhood_type3,businessareas1,businessareas2,businessareas3,businessareasid1,businessareasid2,businessareasid3,businessareasloc1,businessareasloc2,businessareasloc3
静安区,富民路287号,上海市崇明区富民路|287号,121.452161,31.217627,121.44757613048833,31.219522609596158,南京西路街道,310106012000,长乐路,722号,东南,8.55534,,,,,,,,,,,中山公园,岳阳,,310105,310104,,121.426466|31.219276,121.452153|31.204920,
静安区,淮安路833号,上海市静安区淮安路833号,121.449202,31.238835,121.44460800700278,31.240714671995693,江宁路街道,310106006000,淮安路,833号,Center,0,金祥饮食店,餐饮服务;中餐厅;中餐厅,餐饮服务,中餐厅,中餐厅,,,,,,曹家渡,,,310106,,,121.435037|31.229951,,
静安区,临汾路1071号,上海市静安区临汾路1071号,121.445709,31.31059,121.44110066183069,31.312432831144495,彭浦新村街道,310106020000,临汾路,1071号,Center,0,,,,,,,,,,,共康,庙行镇,,310113,310113,,121.439263|31.320874,121.436156|31.329455,
静安区,虬江路1376号,上海市静安区虬江路1376号,121.466603,31.249329,121.46205587574968,31.251243921039272,芷江西路街道,310106022000,虬江路,1376号,Center,0,长城苑商务楼,商务住宅;楼宇;商务写字楼,商务住宅,楼宇,商务写字楼,长城苑,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,七浦路,和田,,310106,310106,,121.480979|31.245711,121.464157|31.264283,
静安区,天目西路290号,上海市静安区天目西路290号,121.455528,31.245629,121.45094944280983,31.247519011633823,天目西路街道,310106015000,天目西路,290号,Center,0,康吉大厦,商务住宅;楼宇;商务写字楼,商务住宅,楼宇,商务写字楼,,,,,,,,,,,,,,
静安区,万春街6号,上海市静安区万春街|6号,121.436338,31.230127,121.43171767283165,31.231988016971854,曹家渡街道,310106014000,康定路,1139号,东北,20.8807,,,,,,瀚林府邸,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,曹家渡,中山公园,,310106,310105,,121.435037|31.229951,121.426466|31.219276,
静安区,闻喜路675号,上海市静安区闻喜路|675,121.454149,31.308207,121.44956138672109,31.310067893108855,彭浦新村街道,310106020000,闻喜路,681号,西,5.85315,伍缘折扣(闻喜路),购物服务;超级市场;超市,购物服务,超级市场,超市,彭顺小区,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,共康,,,310113,,,121.439263|31.320874,,
徐汇区,冠生园路210号,上海市徐汇区冠生园路210号,121.428409,31.163536,121.4237817798121,31.16541910535707,漕河泾街道,310104017000,冠生园路,210号,Center,0,,,,,,薛家宅小区,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,漕河泾,康健,田林,310104,310104,310104,121.416403|31.167910,121.419562|31.156037,121.422417|31.170128
徐汇区,龙腾大道467号,上海市徐汇区龙腾大道|467,121.454569,31.141127,121.44999693393888,31.143066370621053,长桥街道,310104010000,龙腾大道,473号,东,12.8607,,,,,,中海瀛台,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,三林镇,,,310115,,,121.507912|31.143022,,
长宁区,延安西路2799弄,上海市长宁区延安西路2799弄,121.386964,31.194163,121.38232146878691,31.196020554240942,虹桥街道,310105009000,延安西路,2886号,东南,91.539,,,,,,延北小区(延安西路),商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,虹梅路,古北,程家桥,310104,310105,310105,121.400383|31.174148,121.400915|31.198206,121.374945|31.188523
长宁区,迎宾二路119号,上海市长宁区迎宾二路|119号,121.351876,31.187346,121.34728478851515,31.189250127262444,程家桥街道,310105010000,迎宾二路,119号,东北,20.2216,,,,,,,,,,,动物园,龙柏,程家桥,310105,310112,310105,121.362668|31.192764,121.365214|31.179283,121.374945|31.188523
普陀区,岚皋西路234弄,上海市普陀区岚皋西路234弄,121.422706,31.24707,121.41806440323501,31.248906820965143,石泉路街道,310107017000,岚皋西路,226号,西北,16.0783,,,,,,岚皋西路234弄小区,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,光新,,,310107,,,121.432037|31.253900,,
普陀区,岚皋西路285弄,上海市普陀区岚皋西路285弄,121.420896,31.247152,121.41625249707869,31.24898720903103,石泉路街道,310107017000,岚皋西路,262-1号,东,77.9285,,,,,,岚皋西路285弄小区,商务住宅;住宅区;住宅小区,商务住宅,住宅区,住宅小区,光新,,,310107,,,121.432037|31.253900,,
普陀区,远景路69号,上海市普陀区远景路69号,121.450225,31.251728,121.44563236723597,31.253603964855873,宜川路街道,310107020000,远景路,69号,Center,0,,,,,,,,,,,,,,,,,,,
虹口区,川公路167号,上海市静安区川公路|167,121.480812,31.256137,121.47631050672064,31.258087540866615,四川北路街道,310109017000,川公路,173号,西南,17.5833,川公路147弄1号,商务住宅;住宅区;住宅区,商务住宅,住宅区,住宅区,,,,,,七浦路,提篮桥,北外滩,310106,310109,310109,121.480979|31.245711,121.502898|31.252714,121.503076|31.252427
静安区,东宝兴路709号,上海市静安区东宝兴路|709号,121.474258,31.262041,121.46973404372663,31.263970632287688,宝山路街道,310106017000,芷江中路,43-55号,东北,5.0652,,,,,,,,,,,和田,江湾,,310106,310110,,121.464157|31.264283,121.497109|31.310831,
